Name,Link
Obuhoff Hotel 3*,https://tury.ru/hotel/id/75367-russia-st-petersburg-obuhoff-obuhoff-3
Belveder-Nevskiy hotel 4*,https://tury.ru/hotel/id/75387-russia-st-petersburg-belveder-nevskiy-hotel-4
Repinskaya Hotel 3*,https://tury.ru/hotel/id/75650-russia-repino-spb-repinskaya
Accent Hotel 3*,https://tury.ru/hotel/id/75882-russia-st-petersburg-accent-hotel-3
Nauka Hotel Complex,https://tury.ru/hotel/id/75901-russia-st-petersburg-nauka-nauka
Lancaster Court Hotel 3*,https://tury.ru/hotel/id/75968-russia-st-petersburg-lancaster-court-hotel-3
Valeria Mini Hotel 4*,https://tury.ru/hotel/id/77053-russia-st-petersburg-valeria-mini-hotel
Luxa Sfinks mini hotel,https://tury.ru/hotel/id/77217-russia-st-petersburg-luxa-sfinks-mini-hotel
Elegiya mini hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/77219-russia-st-petersburg-elegiya-mini-hotel-saint-petersburg
Luxa Style mini hotel,https://tury.ru/hotel/id/77220-russia-st-petersburg-luxa-style-mini-hotel
Luxa Elegant mini hotel,https://tury.ru/hotel/id/77221-russia-st-petersburg-luxa-elegant-mini-hotel
Ligotel mini hotel,https://tury.ru/hotel/id/77222-russia-st-petersburg-ligotel-mini-hotel
Luxa Usadba mini hotel,https://tury.ru/hotel/id/77225-russia-st-petersburg-luxa-usadba-mini-hotel
Luxa Na Konyushennoj mini hotel,https://tury.ru/hotel/id/77226-russia-st-petersburg-luxa-na-konyushennoj-mini-hotel
Luxa Atlas mini hotel,https://tury.ru/hotel/id/77228-russia-st-petersburg-luxa-atlas-mini-hotel
Palantin Hotel 3*,https://tury.ru/hotel/id/78206-russia-st-petersburg-palantin-palantin-3
Greenwich mini hotel 3*,https://tury.ru/hotel/id/78483-russia-st-petersburg-greenwich-mini-hotel
9 sov hotel 3*,https://tury.ru/hotel/id/78548-russia-st-petersburg-9-sov-hotel-3
Azhur mini hotel St. Petersburg,https://tury.ru/hotel/id/78895-russia-st-petersburg-azhur-mini-hotel-st-petersburg
Griboedova 71 hostel,https://tury.ru/hotel/id/78914-russia-st-petersburg-griboedova71-hostel
Olgino hotel 3*,https://tury.ru/hotel/id/79017-russia-st-petersburg-olgino-olgino-3
Sokos Vasilievsky hotel 4*,https://tury.ru/hotel/id/79035-russia-st-petersburg-sokos-vasilevskiy-sokos-vasilievsky-4
Sokos Hotel Olympic Garden 4*,https://tury.ru/hotel/id/79036-russia-st-petersburg-sokos-olimpik-garden-sokos-hotel-olympic-garden-4
Yuzhnaya hotel Saint-Petersburg,https://tury.ru/hotel/id/79044-russia-st-petersburg-yuzhnaya-hotel-saint-petersburg
